Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.6 Core physical parameters
================================================================================
Byte-by-byte Description of file: datafile6_corephy.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     --        id         Sequential identifier
   5- 19 A15    --        ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     --        CoreName   Core name (Unique within Clump)
  28- 31 F4.1   K         Tdust      Dust temperature used for mass calculation
  33- 37 F5.2   Msun      Mcore      Core mass
  39- 43 F5.2   10+23cm-2 N(H2)peak  Column density at continuum peak in a unit of 10^23 cm^-2
  45- 49 I5     au        Radius     Core radius, the geometric mean of the FWHM divided by 2.
  51- 54 F4.2   g.cm-2    Sigma      Surface density
  56- 60 F5.2   10+6cm-3  n(H2)      Molecular volume density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
282 G028.564-00.236 ALMA15 12.7  6.06  1.00  5360 0.60  1.19 
283 G028.564-00.236 ALMA16 12.7  7.95  0.90  4950 0.89  1.98 
284 G028.564-00.236 ALMA17 12.7  2.55  0.89  2890 0.89  3.20 
285 G028.564-00.236 ALMA18 12.7  3.83  0.88  3510 0.93  2.69 
286 G028.564-00.236 ALMA19 12.7  1.41  0.79  2060 0.99  4.87 
287 G028.564-00.236 ALMA20 12.7  1.68  0.78  2480 0.79  3.35 
288 G028.564-00.236 ALMA21 12.7  1.56  0.76  2270 0.94  4.05 
289 G028.564-00.236 ALMA22 12.7  7.62  0.75  5570 0.71  1.34 
290 G028.564-00.236 ALMA23 12.7  6.35  0.71  4950 0.72  1.59 
291 G028.564-00.236 ALMA24 12.7  3.00  0.68  3510 0.67  2.11 
292 G028.564-00.236 ALMA25 12.7  1.70  0.68  2480 0.82  3.40 
293 G028.564-00.236 ALMA26 12.7  2.49  0.66  3300 0.63  2.09 
294 G028.564-00.236 ALMA27 12.7  2.94  0.58  3710 0.61  1.74 
295 G028.564-00.236 ALMA28 12.7  4.31  0.57  4950 0.49  1.07 
296 G028.564-00.236 ALMA29 12.7  1.66  0.54  2890 0.55  2.09 
297 G028.564-00.236 ALMA30 12.7  3.49  0.53  4540 0.49  1.13 
298 G028.564-00.236 ALMA31 12.7  0.97  0.52  2060 0.63  3.34 
299 G028.564-00.236 ALMA32 12.7  3.55  0.48  4740 0.46  1.01 
300 G028.564-00.236 ALMA33 12.7  1.22  0.48  2680 0.45  1.91 
301 G028.564-00.236 ALMA34 12.7  1.95  0.43  3920 0.35  0.98 
302 G028.564-00.236 ALMA35 12.7  0.75  0.40  2060 0.50  2.59 
303 G028.927+00.394 ALMA1  15.4 14.14  2.49  4540 1.97  4.58 
304 G028.927+00.394 ALMA2  15.4  2.56  0.82  2680 0.99  4.02 
305 G028.927+00.394 ALMA3  15.4  1.46  0.75  2060 0.94  5.05 
306 G028.927+00.394 ALMA4  15.4  5.64  0.52  6390 0.39  0.65 
307 G028.927+00.394 ALMA5  15.4  1.62  0.38  3510 0.38  1.14 
308 G028.927+00.394 ALMA6  15.4  2.28  0.33  5570 0.20  0.40 
309 G028.927+00.394 ALMA7  15.4  1.14  0.31  3300 0.29  0.96 
310 G028.927+00.394 ALMA8  15.4  0.87  0.31  2890 0.30  1.10 
311 G028.927+00.394 ALMA9  15.4  0.57  0.14  3710 0.11  0.34 
312 G030.704+00.104 ALMA1  15.0  9.47  1.43  5160 1.02  2.09 
313 G030.704+00.104 ALMA2  15.0 15.71  1.32  9280 0.51  0.59 
314 G030.704+00.104 ALMA3  15.0  3.39  0.50  4330 0.53  1.26 
315 G030.704+00.104 ALMA4  15.0  3.64  0.50  5570 0.34  0.64 
316 G030.704+00.104 ALMA5  15.0  1.50  0.46  2890 0.54  1.89 
317 G030.704+00.104 ALMA6  15.0  1.51  0.40  2890 0.51  1.89 
318 G030.704+00.104 ALMA7  15.0  0.68  0.39  2060 0.49  2.36 
319 G030.704+00.104 ALMA8  15.0  1.02  0.35  2480 0.44  2.03 
320 G030.704+00.104 ALMA9  15.0  1.52  0.35  3510 0.35  1.06 
321 G030.704+00.104 ALMA10 15.0  0.83  0.31  2480 0.39  1.65 
322 G030.704+00.104 ALMA11 15.0  2.16  0.28  4540 0.31  0.70 
323 G030.704+00.104 ALMA12 15.0  2.71  0.23  6600 0.18  0.29 
324 G030.704+00.104 ALMA13 15.0  0.44  0.22  2270 0.26  1.15 
325 G030.704+00.104 ALMA14 15.0  0.57  0.20  2680 0.24  0.90 
326 G030.704+00.104 ALMA15 15.0  0.53  0.20  2680 0.20  0.83 
327 G030.704+00.104 ALMA16 15.0  1.73  0.19  6390 0.12  0.20 
328 G030.704+00.104 ALMA17 15.0  0.53  0.19  2680 0.21  0.83 
329 G030.704+00.104 ALMA18 15.0  0.84  0.18  3710 0.18  0.49 
330 G030.704+00.104 ALMA19 15.0  0.64  0.17  3300 0.17  0.54 
331 G030.704+00.104 ALMA20 15.0  0.48  0.17  2890 0.15  0.60 
332 G030.704+00.104 ALMA21 15.0  0.58  0.15  3510 0.13  0.41 
333 G030.913+00.719 ALMA1  12.4  4.24  2.13  3710 0.91  2.51 
334 G030.913+00.719 ALMA2  12.4 11.34  1.57  7430 0.58  0.84 
335 G030.913+00.719 ALMA3  12.4  0.73  0.53  2270 0.39  1.89 
336 G030.913+00.719 ALMA4  12.4  0.99  0.38  3090 0.30  1.02 
337 G030.913+00.719 ALMA5  12.4  2.21  0.36  4950 0.25  0.55 
338 G030.913+00.719 ALMA6  12.4  0.54  0.28  2480 0.24  1.09 
339 G030.913+00.719 ALMA7  12.4  0.27  0.28  1860 0.24  1.28 
340 G030.913+00.719 ALMA8  12.4  0.44  0.25  2060 0.28  1.52 
341 G030.913+00.719 ALMA9  12.4  0.28  0.21  2060 0.17  0.95 
342 G030.913+00.719 ALMA10 12.4  0.20  0.20  1650 0.18  1.34 
343 G030.913+00.719 ALMA11 12.4  0.24  0.15  2480 0.11  0.47 
344 G030.913+00.719 ALMA12 12.4  0.15  0.14  1650 0.15  1.04 
345 G033.331-00.531 ALMA1  14.3 28.92  2.61  6810 1.73  2.78 
346 G033.331-00.531 ALMA2  14.3  5.44  0.97  4950 0.63  1.36 
347 G033.331-00.531 ALMA3  14.3  1.84  0.62  2890 0.64  2.31 
348 G033.331-00.531 ALMA4  14.3  0.61  0.30  2060 0.38  2.10 
349 G033.331-00.531 ALMA5  14.3  0.67  0.19  3090 0.20  0.68 
350 G033.331-00.531 ALMA6  14.3  0.49  0.18  2680 0.19  0.77 
351 G033.331-00.531 ALMA7  14.3  0.44  0.16  2680 0.17  0.69 
352 G033.331-00.531 ALMA8  14.3  0.49  0.11  4130 0.08  0.21 
353 G033.331-00.531 ALMA9  14.3  0.38  0.10  3710 0.08  0.22 
354 G034.133+00.076 ALMA1  16.0  5.05  0.77  4330 0.73  1.88 
355 G034.133+00.076 ALMA2  16.0  3.05  0.48  4950 0.36  0.76 
356 G034.133+00.076 ALMA3  16.0  0.70  0.46  1860 0.53  3.33 
357 G034.133+00.076 ALMA4  16.0  4.50  0.45  6190 0.34  0.58 
358 G034.133+00.076 ALMA5  16.0  0.34  0.35  1440 0.46  3.46 
359 G034.133+00.076 ALMA6  16.0  0.76  0.32  2890 0.28  0.96 
360 G034.133+00.076 ALMA7  16.0  0.22  0.26  1440 0.29  2.25 
361 G034.133+00.076 ALMA8  16.0  0.29  0.23  1860 0.24  1.35 
362 G034.133+00.076 ALMA9  16.0  0.47  0.15  3510 0.11  0.33 
363 G034.133+00.076 ALMA10 16.0  0.33  0.15  2480 0.15  0.66 
364 G034.133+00.076 ALMA11 16.0  0.24  0.12  2270 0.13  0.61 
365 G034.133+00.076 ALMA12 16.0  0.29  0.12  2480 0.13  0.59 
366 G034.133+00.076 ALMA13 16.0  0.16  0.11  2270 0.09  0.42 
367 G034.133+00.076 ALMA14 16.0  0.13  0.10  1860 0.11  0.60 
368 G034.133+00.076 ALMA15 16.0  0.24  0.10  2890 0.08  0.30 
369 G034.169+00.089 ALMA1  17.9  1.74  0.73  3300 0.44  1.47 
370 G034.169+00.089 ALMA2  17.9  0.25  0.21  1860 0.20  1.19 
371 G034.169+00.089 ALMA3  17.9  0.58  0.18  3090 0.17  0.60 
372 G034.169+00.089 ALMA4  17.9  0.33  0.16  2890 0.12  0.42 
373 G034.169+00.089 ALMA5  17.9  0.54  0.14  3300 0.14  0.45 
374 G034.169+00.089 ALMA6  17.9  0.17  0.14  2060 0.12  0.60 
375 G034.169+00.089 ALMA7  17.9  0.19  0.13  2060 0.11  0.64 
376 G034.169+00.089 ALMA8  17.9  0.32  0.13  2890 0.11  0.41 
377 G034.169+00.089 ALMA9  17.9  0.66  0.13  4130 0.11  0.28 
378 G034.169+00.089 ALMA10 17.9  0.18  0.13  1860 0.14  0.88 
379 G034.169+00.089 ALMA11 17.9  0.20  0.12  2270 0.11  0.53 
380 G034.169+00.089 ALMA12 17.9  0.15  0.12  1860 0.12  0.69 
381 G034.169+00.089 ALMA13 17.9  0.35  0.11  2890 0.12  0.45 
382 G034.169+00.089 ALMA14 17.9  0.16  0.11  2060 0.11  0.55 
383 G034.169+00.089 ALMA15 17.9  0.49  0.11  4330 0.07  0.18 
384 G034.169+00.089 ALMA16 17.9  0.59  0.11  4330 0.09  0.22 
385 G034.169+00.089 ALMA17 17.9  0.23  0.11  2680 0.09  0.37 
386 G034.169+00.089 ALMA18 17.9  0.30  0.10  3300 0.08  0.25 
387 G034.169+00.089 ALMA19 17.9  0.25  0.10  3090 0.07  0.26 
388 G034.169+00.089 ALMA20 17.9  0.12  0.10  1860 0.11  0.58 
389 G034.169+00.089 ALMA21 17.9  0.25  0.10  3090 0.08  0.25 
390 G034.169+00.089 ALMA22 17.9  0.11  0.08  1860 0.09  0.52 
391 G034.739-00.119 ALMA1  12.7  9.69  2.23  3710 2.09  5.73 
392 G034.739-00.119 ALMA2  12.7  6.42  2.16  3090 1.88  6.56 
393 G034.739-00.119 ALMA3  12.7  4.60  1.31  2890 1.46  5.78 
394 G034.739-00.119 ALMA4  12.7  4.12  1.02  3510 0.91  2.89 
395 G034.739-00.119 ALMA5  12.7  4.28  0.88  3510 1.01  3.01 
396 G034.739-00.119 ALMA6  12.7  1.55  0.76  2270 0.92  4.03 
397 G034.739-00.119 ALMA7  12.7  4.30  0.60  5360 0.43  0.84 
398 G034.739-00.119 ALMA8  12.7  1.15  0.55  2270 0.66  2.98 
399 G034.739-00.119 ALMA9  12.7  0.68  0.54  1650 0.66  4.60 
400 G034.739-00.119 ALMA10 12.7  3.43  0.54  5780 0.28  0.54 
401 G034.739-00.119 ALMA11 12.7  2.09  0.42  4130 0.35  0.90 
402 G034.739-00.119 ALMA12 12.7  3.81  0.41  5980 0.30  0.54 
403 G034.739-00.119 ALMA13 12.7  1.52  0.32  3920 0.28  0.76 
404 G034.739-00.119 ALMA14 12.7  1.02  0.31  3090 0.29  1.04 
405 G034.739-00.119 ALMA15 12.7  1.15  0.31  3710 0.23  0.68 
406 G034.739-00.119 ALMA16 12.7  1.31  0.30  4540 0.19  0.42 
407 G034.739-00.119 ALMA17 12.7  1.47  0.28  4330 0.22  0.55 
408 G034.739-00.119 ALMA18 12.7  0.47  0.27  2060 0.30  1.61 
409 G034.739-00.119 ALMA19 12.7  1.37  0.27  3920 0.25  0.69 
410 G034.739-00.119 ALMA20 12.7  1.07  0.26  3300 0.29  0.90 
411 G034.739-00.119 ALMA21 12.7  0.51  0.25  2270 0.28  1.32 
412 G034.739-00.119 ALMA22 12.7  0.59  0.24  2480 0.29  1.18 
413 G034.739-00.119 ALMA23 12.7  0.77  0.21  3510 0.19  0.54 
414 G034.739-00.119 ALMA24 12.7  0.46  0.15  2890 0.17  0.58 
415 G036.666-00.114 ALMA1  13.4 10.43  3.44  5160 1.09  2.30 
416 G036.666-00.114 ALMA2  13.4  7.80  2.05  4330 1.19  2.91 
417 G036.666-00.114 ALMA3  13.4  2.05  0.91  3300 0.56  1.72 
418 G036.666-00.114 ALMA4  13.4  0.24  0.37  1240 0.45  3.90 
419 G036.666-00.114 ALMA5  13.4  0.34  0.35  1440 0.43  3.37 
420 G036.666-00.114 ALMA6  13.4  0.76  0.27  3090 0.23  0.78 
421 G036.666-00.114 ALMA7  13.4  0.76  0.20  3710 0.16  0.45 
422 G036.666-00.114 ALMA8  13.4  0.19  0.20  1650 0.22  1.26 
423 G036.666-00.114 ALMA9  13.4  0.55  0.20  3090 0.16  0.56 
424 G036.666-00.114 ALMA10 13.4  0.23  0.19  1650 0.21  1.53 
425 G036.666-00.114 ALMA11 13.4  0.61  0.18  3090 0.17  0.63 
426 G036.666-00.114 ALMA12 13.4  0.37  0.17  2480 0.16  0.74 
427 G036.666-00.114 ALMA13 13.4  0.46  0.15  3710 0.10  0.27 
428 G305.794-00.096 ALMA1  16.0  5.42  2.32  2680 2.22  8.51 
429 G305.794-00.096 ALMA2  16.0  4.84  2.10  2480 2.28  9.66 
430 G305.794-00.096 ALMA3  16.0  5.53  2.05  3510 1.33  3.89 
431 G305.794-00.096 ALMA4  16.0  2.93  2.03  1860 2.43 13.87 
432 G305.794-00.096 ALMA5  16.0  2.99  1.30  2270 1.56  7.74 
433 G305.794-00.096 ALMA6  16.0  9.09  1.23  5980 0.74  1.29 
434 G305.794-00.096 ALMA7  16.0  7.58  1.11  5360 0.76  1.49 
435 G305.794-00.096 ALMA8  16.0  1.43  0.94  1860 1.07  6.78 
436 G305.794-00.096 ALMA9  16.0  1.51  0.76  2270 0.84  3.92 
437 G305.794-00.096 ALMA10 16.0  3.20  0.70  3920 0.60  1.61 
438 G305.794-00.096 ALMA11 16.0  4.21  0.67  4740 0.52  1.19 
439 G305.794-00.096 ALMA12 16.0  1.15  0.67  2060 0.74  3.97 
440 G305.794-00.096 ALMA13 16.0  2.44  0.65  2890 0.79  3.07 
441 G305.794-00.096 ALMA14 16.0  1.54  0.58  2480 0.69  3.07 
442 G305.794-00.096 ALMA15 16.0  2.08  0.51  3920 0.37  1.05 
443 G305.794-00.096 ALMA16 16.0  1.12  0.48  2480 0.52  2.24 
444 G305.794-00.096 ALMA17 16.0  1.64  0.45  3090 0.50  1.68 
445 G305.794-00.096 ALMA18 16.0  1.49  0.41  3710 0.30  0.88 
446 G305.794-00.096 ALMA19 16.0  4.67  0.41  6810 0.29  0.45 
447 G305.794-00.096 ALMA20 16.0  0.53  0.41  1650 0.52  3.54 
448 G305.794-00.096 ALMA21 16.0  0.49  0.39  1860 0.38  2.32 
449 G305.794-00.096 ALMA22 16.0  0.55  0.38  2060 0.39  1.91 
450 G305.794-00.096 ALMA23 16.0  0.77  0.37  2270 0.42  2.00 
451 G305.794-00.096 ALMA24 16.0  1.10  0.33  3090 0.33  1.12 
452 G305.794-00.096 ALMA25 16.0  2.45  0.33  5360 0.24  0.48 
453 G305.794-00.096 ALMA26 16.0  0.51  0.33  2060 0.37  1.78 
454 G305.794-00.096 ALMA27 16.0  3.27  0.32  6190 0.24  0.42 
455 G305.794-00.096 ALMA28 16.0  0.29  0.32  1440 0.41  2.89 
456 G305.794-00.096 ALMA29 16.0  1.04  0.32  2890 0.36  1.31 
457 G305.794-00.096 ALMA30 16.0  0.95  0.32  2890 0.31  1.20 
458 G305.794-00.096 ALMA31 16.0  0.94  0.28  2890 0.31  1.18 
459 G305.794-00.096 ALMA32 16.0  0.64  0.26  2480 0.30  1.28 
460 G305.794-00.096 ALMA33 16.0  0.54  0.25  2680 0.21  0.86 
461 G305.794-00.096 ALMA34 16.0  0.31  0.24  1860 0.25  1.47 
462 G327.116-00.294 ALMA1  14.1 10.80  2.33  4950 1.25  2.70 
463 G327.116-00.294 ALMA2  10.4  6.43  2.51  3090 2.01  6.57 
464 G327.116-00.294 ALMA3  17.0  2.08  0.93  3510 0.48  1.46 
465 G327.116-00.294 ALMA4  16.4  1.26  0.54  3300 0.33  1.06 
466 G327.116-00.294 ALMA5  15.9  1.79  0.36  4740 0.23  0.51 
467 G327.116-00.294 ALMA6  16.9  0.25  0.31  1440 0.38  2.51 
468 G327.116-00.294 ALMA7  18.6  0.20  0.27  1240 0.34  3.19 
469 G327.116-00.294 ALMA8  15.9  0.51  0.32  2060 0.35  1.76 
470 G327.116-00.294 ALMA9  14.6  1.05  0.36  3300 0.27  0.88 
471 G327.116-00.294 ALMA10 12.6  2.16  0.40  4130 0.37  0.93 
472 G327.116-00.294 ALMA11 11.1  2.98  0.49  4540 0.40  0.97 
473 G327.116-00.294 ALMA12 20.4  0.42  0.20  2480 0.19  0.84 
474 G327.116-00.294 ALMA13 15.9  1.40  0.29  5570 0.13  0.25 
475 G327.116-00.294 ALMA14 14.7  1.01  0.28  3300 0.26  0.85 
476 G327.116-00.294 ALMA15 13.4  0.30  0.27  1650 0.31  2.02 
477 G327.116-00.294 ALMA16 14.2  0.40  0.24  2060 0.28  1.38 
478 G327.116-00.294 ALMA17 15.9  0.31  0.18  2270 0.18  0.80 
479 G327.116-00.294 ALMA18 22.5  0.11  0.11  1650 0.12  0.74 
480 G327.116-00.294 ALMA19 18.3  0.26  0.14  2480 0.11  0.52 
481 G327.116-00.294 ALMA20 14.7  0.19  0.17  1860 0.17  0.90 
482 G327.116-00.294 ALMA21 14.4  0.29  0.17  2270 0.15  0.75 
483 G331.372-00.116 ALMA1  14.8  7.96  0.82  5780 0.67  1.25 
484 G331.372-00.116 ALMA2  16.0  1.88  0.68  3090 0.55  1.92 
485 G331.372-00.116 ALMA3  16.7  0.86  0.47  2270 0.46  2.23 
486 G331.372-00.116 ALMA4  17.8  4.21  0.36  7220 0.23  0.34 
487 G331.372-00.116 ALMA5  17.9  1.57  0.33  3710 0.31  0.93 
488 G331.372-00.116 ALMA6  16.0  1.60  0.35  3710 0.33  0.95 
489 G331.372-00.116 ALMA7  16.0  1.58  0.35  4130 0.27  0.68 
490 G331.372-00.116 ALMA8  12.3  2.54  0.49  4540 0.35  0.82 
491 G331.372-00.116 ALMA9  12.9  0.49  0.38  1650 0.47  3.30 
492 G331.372-00.116 ALMA10 16.0  0.74  0.27  2680 0.30  1.16 
493 G331.372-00.116 ALMA11  9.0  1.71  0.65  2680 0.73  2.69 
494 G331.372-00.116 ALMA12 15.1  3.57  0.29  7010 0.21  0.31 
495 G331.372-00.116 ALMA13 14.6  1.11  0.31  3300 0.29  0.93 
496 G331.372-00.116 ALMA14 17.9  1.07  0.23  4540 0.15  0.35 
497 G331.372-00.116 ALMA15 16.0  0.96  0.23  3710 0.19  0.57 
498 G331.372-00.116 ALMA16 16.0  0.85  0.24  3090 0.26  0.87 
499 G331.372-00.116 ALMA17 16.0  0.51  0.23  2480 0.23  1.02 
500 G331.372-00.116 ALMA18 16.0  0.45  0.22  2060 0.27  1.55 
501 G331.372-00.116 ALMA19 18.1  0.25  0.19  1860 0.22  1.18 
502 G331.372-00.116 ALMA20 17.0  0.79  0.20  3510 0.19  0.55 
503 G331.372-00.116 ALMA21 16.0  0.52  0.21  2680 0.20  0.82 
504 G331.372-00.116 ALMA22 17.1  0.97  0.19  3920 0.18  0.49 
505 G331.372-00.116 ALMA23 16.0  0.56  0.19  2680 0.23  0.88 
506 G331.372-00.116 ALMA24 18.1  0.72  0.17  3710 0.15  0.43 
507 G331.372-00.116 ALMA25 16.0  0.61  0.19  3090 0.17  0.62 
508 G331.372-00.116 ALMA26 17.8  0.49  0.17  3090 0.14  0.50 
509 G331.372-00.116 ALMA27 16.0  0.46  0.20  2480 0.20  0.92 
510 G331.372-00.116 ALMA28 17.5  0.83  0.17  3710 0.16  0.49 
511 G331.372-00.116 ALMA29 17.9  0.57  0.16  2890 0.19  0.72 
512 G331.372-00.116 ALMA30 18.0  0.27  0.16  1860 0.20  1.28 
513 G331.372-00.116 ALMA31 16.0  0.63  0.20  3920 0.12  0.32 
514 G331.372-00.116 ALMA32 18.0  0.58  0.16  3300 0.15  0.49 
515 G331.372-00.116 ALMA33 18.9  0.78  0.15  3710 0.15  0.46 
516 G331.372-00.116 ALMA34 16.0  1.06  0.19  4740 0.13  0.30 
517 G331.372-00.116 ALMA35 19.2  0.48  0.14  3090 0.15  0.49 
518 G331.372-00.116 ALMA36 18.8  0.27  0.14  2270 0.14  0.70 
519 G331.372-00.116 ALMA37 15.7  0.57  0.17  4130 0.10  0.25 
520 G331.372-00.116 ALMA38 16.0  0.43  0.13  3090 0.13  0.44 
521 G331.372-00.116 ALMA39 15.4  0.51  0.13  3510 0.11  0.36 
522 G332.969-00.029 ALMA1  12.6  4.11  0.80  4540 0.55  1.33 
523 G332.969-00.029 ALMA2  12.6  0.64  0.47  2060 0.40  2.21 
524 G332.969-00.029 ALMA3  12.6  2.49  0.46  4740 0.32  0.71 
525 G332.969-00.029 ALMA4  12.6  1.14  0.42  2680 0.46  1.79 
526 G332.969-00.029 ALMA5  12.6  1.47  0.37  3710 0.31  0.87 
527 G332.969-00.029 ALMA6  12.6  1.35  0.33  3710 0.27  0.80 
528 G332.969-00.029 ALMA7  12.6  0.44  0.31  1860 0.37  2.08 
529 G332.969-00.029 ALMA8  12.6  0.48  0.29  2270 0.28  1.24 
530 G332.969-00.029 ALMA9  12.6  0.79  0.27  3090 0.23  0.81 
531 G332.969-00.029 ALMA10 12.6  0.28  0.26  1650 0.30  1.89 
532 G332.969-00.029 ALMA11 12.6  0.63  0.26  2890 0.20  0.79 
533 G332.969-00.029 ALMA12 12.6  0.47  0.25  2270 0.25  1.22 
534 G332.969-00.029 ALMA13 12.6  0.40  0.25  2060 0.27  1.38 
535 G332.969-00.029 ALMA14 12.6  0.26  0.23  1860 0.24  1.23 
536 G332.969-00.029 ALMA15 12.6  0.37  0.23  2270 0.22  0.96 
537 G332.969-00.029 ALMA16 12.6  0.37  0.22  2270 0.22  0.96 
538 G332.969-00.029 ALMA17 12.6  0.34  0.22  2270 0.20  0.88 
539 G332.969-00.029 ALMA18 12.6  0.39  0.21  2480 0.19  0.78 
540 G332.969-00.029 ALMA19 12.6  0.34  0.21  2060 0.21  1.17 
541 G332.969-00.029 ALMA20 12.6  0.54  0.18  3090 0.17  0.55 
542 G333.016-00.751 ALMA1  17.6  1.93  0.35  4330 0.28  0.72 
543 G333.016-00.751 ALMA2  17.6  0.38  0.29  1650 0.36  2.59 
544 G333.016-00.751 ALMA3  17.6  0.24  0.28  1440 0.34  2.37 
545 G333.016-00.751 ALMA4  17.6  0.54  0.28  2060 0.33  1.88 
546 G333.016-00.751 ALMA5  17.6  0.59  0.27  2480 0.26  1.17 
547 G333.016-00.751 ALMA6  17.6  0.29  0.25  1650 0.31  1.96 
548 G333.016-00.751 ALMA7  17.6  0.37  0.25  2060 0.24  1.29 
549 G333.016-00.751 ALMA8  17.6  0.96  0.23  3510 0.23  0.67 
550 G333.016-00.751 ALMA9  17.6  0.14  0.22  1240 0.29  2.25 
551 G333.016-00.751 ALMA10 17.6  0.78  0.21  3300 0.20  0.65 
552 G333.016-00.751 ALMA11 17.6  0.42  0.19  2480 0.19  0.84 
553 G333.016-00.751 ALMA12 17.6  0.41  0.19  3090 0.13  0.42 
554 G333.016-00.751 ALMA13 17.6  0.21  0.17  1860 0.19  1.00 
555 G333.016-00.751 ALMA14 17.6  0.14  0.15  1440 0.17  1.44 
556 G333.016-00.751 ALMA15 17.6  0.16  0.15  1650 0.16  1.06 
557 G333.016-00.751 ALMA16 17.6  0.22  0.14  1860 0.18  1.06 
558 G333.016-00.751 ALMA17 17.6  0.13  0.14  1440 0.16  1.32 
559 G333.016-00.751 ALMA18 17.6  0.21  0.14  2060 0.13  0.73 
560 G333.016-00.751 ALMA19 17.6  0.19  0.12  2270 0.11  0.50 
561 G333.016-00.751 ALMA20 17.6  0.19  0.12  2060 0.13  0.65 
562 G333.016-00.751 ALMA21 17.6  0.32  0.12  3300 0.08  0.27 
563 G333.016-00.751 ALMA22 17.6  0.24  0.12  2480 0.11  0.47 
564 G333.016-00.751 ALMA23 17.6  0.30  0.11  2890 0.11  0.38 
565 G333.016-00.751 ALMA24 17.6  0.21  0.11  2270 0.11  0.54 
566 G333.016-00.751 ALMA25 17.6  0.26  0.11  2680 0.10  0.40 
567 G333.016-00.751 ALMA26 17.6  0.13  0.10  2060 0.09  0.45 
568 G333.016-00.751 ALMA27 17.6  0.18  0.09  2680 0.07  0.29 
569 G333.481-00.224 ALMA1  18.9  6.25  2.51  3510 1.43  4.39 
570 G333.481-00.224 ALMA2  18.9  6.72  0.91  4950 0.77  1.68 
571 G333.481-00.224 ALMA3  18.9  2.40  0.83  4330 0.35  0.89 
572 G333.481-00.224 ALMA4  18.9  1.45  0.72  2680 0.60  2.28 
573 G333.481-00.224 ALMA5  18.9  0.65  0.65  1650 0.75  4.40 
574 G333.481-00.224 ALMA6  18.9  2.78  0.63  3510 0.67  1.95 
575 G333.481-00.224 ALMA7  18.9  1.13  0.52  2270 0.62  2.92 
576 G333.481-00.224 ALMA8  18.9  1.45  0.52  3090 0.45  1.48 
577 G333.481-00.224 ALMA9  18.9  0.73  0.36  2270 0.41  1.90 
578 G333.481-00.224 ALMA10 18.9  0.79  0.35  2480 0.40  1.58 
579 G333.481-00.224 ALMA11 18.9  0.44  0.34  1650 0.44  2.96 
580 G333.481-00.224 ALMA12 18.9  1.47  0.34  3710 0.29  0.87 
581 G333.481-00.224 ALMA13 18.9  0.26  0.28  1650 0.24  1.74 
582 G333.481-00.224 ALMA14 18.9  0.24  0.27  1650 0.27  1.65 
583 G333.481-00.224 ALMA15 18.9  0.28  0.24  1860 0.25  1.32 
584 G333.481-00.224 ALMA16 18.9  0.31  0.22  1860 0.25  1.44 
585 G333.481-00.224 ALMA17 18.9  0.36  0.22  2060 0.23  1.24 
586 G333.481-00.224 ALMA18 18.9  0.42  0.20  2480 0.19  0.84 
587 G333.481-00.224 ALMA19 18.9  0.23  0.19  1860 0.17  1.09 
588 G333.481-00.224 ALMA20 18.9  0.29  0.15  2480 0.15  0.58 
589 G333.481-00.224 ALMA21 18.9  0.40  0.15  2890 0.14  0.51 
590 G333.481-00.224 ALMA22 18.9  0.23  0.12  2270 0.12  0.58 
591 G333.481-00.224 ALMA23 18.9  0.30  0.12  3510 0.07  0.21 
592 G333.481-00.224 ALMA24 18.9  0.12  0.10  1860 0.11  0.57 
593 G333.481-00.224 ALMA25 18.9  0.12  0.09  2680 0.05  0.19 
594 G333.524-00.269 ALMA1  21.2  8.42  3.85  3090 2.39  8.60 
595 G333.524-00.269 ALMA2  21.2  5.49  1.93  2890 1.90  6.91 
596 G333.524-00.269 ALMA3  21.2  7.15  1.78  3710 1.39  4.23 
597 G333.524-00.269 ALMA4  21.2  2.89  1.71  2680 1.10  4.54 
598 G333.524-00.269 ALMA5  21.2  2.97  1.71  2270 1.58  7.70 
599 G333.524-00.269 ALMA6  21.2  5.88  1.36  4130 1.01  2.54 
600 G333.524-00.269 ALMA7  21.2  3.25  1.21  3510 0.71  2.28 
601 G333.524-00.269 ALMA8  21.2  4.37  1.05  3710 0.90  2.59 
602 G333.524-00.269 ALMA9  21.2  1.01  0.86  1650 1.08  6.83 
603 G333.524-00.269 ALMA10 21.2  2.85  0.79  3300 0.73  2.40 
604 G333.524-00.269 ALMA11 21.2  2.14  0.69  2890 0.68  2.69 
605 G333.524-00.269 ALMA12 21.2  1.14  0.66  2060 0.75  3.93 
606 G333.524-00.269 ALMA13 21.2  2.24  0.65  3300 0.56  1.89 
607 G333.524-00.269 ALMA14 21.2  0.90  0.64  2060 0.63  3.12 
608 G333.524-00.269 ALMA15 21.2  2.65  0.57  3710 0.54  1.56 
