Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.6 Core physical parameters
================================================================================
Byte-by-byte Description of file: datafile6_corephy.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     --        id         Sequential identifier
   5- 19 A15    --        ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     --        CoreName   Core name (Unique within Clump)
  28- 31 F4.1   K         Tdust      Dust temperature used for mass calculation
  33- 37 F5.2   Msun      Mcore      Core mass
  39- 43 F5.2   10+23cm-2 N(H2)peak  Column density at continuum peak in a unit of 10^23 cm^-2
  45- 49 I5     au        Radius     Core radius, the geometric mean of the FWHM divided by 2.
  51- 54 F4.2   g.cm-2    Sigma      Surface density
  56- 60 F5.2   10+6cm-3  n(H2)      Molecular volume density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
 62 G014.492-00.139 ALMA35 13.2  1.13  0.60  2480 0.54  2.26 
 63 G014.492-00.139 ALMA36 14.6  0.54  0.46  1650 0.51  3.64 
 64 G014.492-00.139 ALMA37 15.7  0.61  0.36  2480 0.28  1.22 
 65 G015.203-00.441 ALMA1  20.1  5.24  1.39  3510 1.14  3.68 
 66 G015.203-00.441 ALMA2  20.1  0.62  0.90  1440 0.88  6.23 
 67 G015.203-00.441 ALMA3  20.1  1.86  0.74  2680 0.79  2.92 
 68 G015.203-00.441 ALMA4  20.1  0.81  0.51  1860 0.60  3.82 
 69 G015.203-00.441 ALMA5  20.1  0.18  0.49   830 0.63  9.57 
 70 G015.203-00.441 ALMA6  20.1  0.13  0.48   830 0.61  7.20 
 71 G015.203-00.441 ALMA7  20.1  1.65  0.45  3300 0.44  1.39 
 72 G015.203-00.441 ALMA8  20.1  1.13  0.44  2680 0.48  1.77 
 73 G015.203-00.441 ALMA9  20.1  0.12  0.41   830 0.46  6.55 
 74 G015.203-00.441 ALMA10 20.1  0.41  0.37  1650 0.38  2.74 
 75 G015.203-00.441 ALMA11 20.1  0.15  0.36  1030 0.47  4.13 
 76 G015.203-00.441 ALMA12 20.1  1.94  0.34  4740 0.23  0.55 
 77 G015.203-00.441 ALMA13 20.1  0.28  0.31  1650 0.31  1.87 
 78 G015.203-00.441 ALMA14 20.1  1.27  0.28  4130 0.22  0.55 
 79 G015.203-00.441 ALMA15 20.1  0.35  0.28  2060 0.24  1.21 
 80 G015.203-00.441 ALMA16 20.1  0.21  0.26  1440 0.31  2.09 
 81 G015.203-00.441 ALMA17 20.1  0.21  0.26  1440 0.26  2.09 
 82 G015.203-00.441 ALMA18 20.1  0.41  0.24  2270 0.21  1.05 
 83 G015.203-00.441 ALMA19 20.1  0.71  0.23  3090 0.20  0.72 
 84 G015.203-00.441 ALMA20 20.1  0.08  0.21  1030 0.25  2.28 
 85 G015.203-00.441 ALMA21 20.1  0.24  0.17  2480 0.10  0.47 
 86 G015.203-00.441 ALMA22 20.1  0.31  0.16  2480 0.15  0.62 
 87 G015.203-00.441 ALMA23 20.1  0.06  0.13  1240 0.13  1.00 
 88 G015.203-00.441 ALMA24 20.1  0.26  0.13  2680 0.10  0.42 
 89 G015.203-00.441 ALMA25 20.1  0.14  0.12  2060 0.09  0.49 
 90 G015.203-00.441 ALMA26 20.1  0.07  0.12  1240 0.11  1.09 
 91 G016.974-00.222 ALMA1  12.8  5.16  2.65  3710 1.04  3.05 
 92 G016.974-00.222 ALMA2  12.8  1.67  0.67  3090 0.48  1.71 
 93 G016.974-00.222 ALMA3  12.8  0.86  0.55  2480 0.43  1.72 
 94 G016.974-00.222 ALMA4  12.8  0.32  0.44  1240 0.55  5.18 
 95 G016.974-00.222 ALMA5  12.8  0.87  0.42  3090 0.26  0.89 
 96 G016.974-00.222 ALMA6  12.8  0.33  0.41  1440 0.47  3.29 
 97 G016.974-00.222 ALMA7  12.8  0.61  0.33  2680 0.25  0.96 
 98 G016.974-00.222 ALMA8  12.8  0.44  0.30  1860 0.34  2.07 
 99 G016.974-00.222 ALMA9  12.8  1.21  0.29  5160 0.13  0.27 
100 G016.974-00.222 ALMA10 12.8  0.46  0.25  2480 0.21  0.91 
101 G016.974-00.222 ALMA11 12.8  0.60  0.19  3710 0.13  0.35 
102 G016.974-00.222 ALMA12 12.8  0.39  0.18  2480 0.17  0.78 
103 G016.974-00.222 ALMA13 12.8  0.32  0.17  2480 0.16  0.63 
104 G018.801-00.297 ALMA1  13.3  6.82  1.38  4740 0.84  1.93 
105 G018.801-00.297 ALMA2  13.3  9.99  1.04  5780 0.87  1.57 
106 G018.801-00.297 ALMA3  13.3  3.54  0.76  3710 0.71  2.09 
107 G018.801-00.297 ALMA4  13.3  1.49  0.56  3090 0.46  1.52 
108 G018.801-00.297 ALMA5  13.3  2.30  0.48  3710 0.46  1.36 
109 G018.801-00.297 ALMA6  13.3  1.25  0.42  3090 0.38  1.28 
110 G018.801-00.297 ALMA7  13.3  2.73  0.41  4540 0.38  0.88 
111 G018.801-00.297 ALMA8  13.3  2.83  0.29  5780 0.24  0.44 
112 G018.931-00.029 ALMA1  20.7  9.02  1.15  6390 0.61  1.04 
113 G018.931-00.029 ALMA2  20.7  8.27  0.40  9900 0.24  0.26 
114 G018.931-00.029 ALMA3  20.7  1.04  0.38  2680 0.38  1.63 
115 G018.931-00.029 ALMA4  20.7  0.66  0.31  2270 0.34  1.72 
116 G018.931-00.029 ALMA5  20.7  1.50  0.29  3920 0.27  0.75 
117 G018.931-00.029 ALMA6  20.7  0.50  0.27  2270 0.27  1.29 
118 G018.931-00.029 ALMA7  20.7  1.12  0.27  3300 0.28  0.94 
119 G018.931-00.029 ALMA8  20.7  2.58  0.25  5780 0.21  0.41 
120 G018.931-00.029 ALMA9  20.7  0.28  0.24  1650 0.29  1.89 
121 G018.931-00.029 ALMA10 20.7  0.64  0.24  2890 0.21  0.80 
122 G018.931-00.029 ALMA11 20.7  0.43  0.15  3710 0.09  0.25 
123 G018.931-00.029 ALMA12 20.7  0.45  0.13  3090 0.13  0.46 
124 G018.931-00.029 ALMA13 20.7  0.43  0.12  3300 0.12  0.37 
125 G018.931-00.029 ALMA14 20.7  0.65  0.12  4330 0.10  0.24 
126 G018.931-00.029 ALMA15 20.7  0.16  0.10  2060 0.12  0.56 
127 G022.253+00.032 ALMA1  13.8  4.41  1.77  2890 1.60  5.54 
128 G022.253+00.032 ALMA2  13.8  3.02  1.25  2680 1.23  4.75 
129 G022.253+00.032 ALMA3  13.8  6.21  0.87  6390 0.44  0.72 
130 G022.253+00.032 ALMA4  13.8  2.40  0.42  4540 0.34  0.78 
131 G022.253+00.032 ALMA5  13.8  3.80  0.31  8040 0.17  0.22 
132 G022.253+00.032 ALMA6  13.8  1.52  0.29  3710 0.30  0.90 
133 G022.253+00.032 ALMA7  13.8  2.84  0.29  5570 0.25  0.50 
134 G022.253+00.032 ALMA8  13.8  2.03  0.24  5780 0.18  0.32 
135 G022.253+00.032 ALMA9  13.8  0.45  0.21  2270 0.26  1.18 
136 G022.253+00.032 ALMA10 13.8  0.32  0.20  2060 0.22  1.12 
137 G022.253+00.032 ALMA11 13.8  0.76  0.19  3510 0.17  0.53 
138 G022.253+00.032 ALMA12 13.8  0.46  0.18  2680 0.17  0.73 
139 G022.253+00.032 ALMA13 13.8  0.64  0.17  3510 0.15  0.45 
140 G022.253+00.032 ALMA14 13.8  0.43  0.14  3090 0.12  0.44 
141 G022.253+00.032 ALMA15 13.8  0.45  0.13  2890 0.14  0.57 
142 G022.253+00.032 ALMA16 13.8  0.33  0.12  2680 0.12  0.52 
143 G022.692-00.452 ALMA1  18.0 10.04  2.36  4330 1.58  3.74 
144 G022.692-00.452 ALMA2  18.0 11.38  0.77  9490 0.36  0.40 
145 G022.692-00.452 ALMA3  18.0  9.84  0.69 10930 0.24  0.23 
146 G022.692-00.452 ALMA4  18.0  2.35  0.42  3710 0.48  1.39 
147 G022.692-00.452 ALMA5  18.0  0.71  0.36  2060 0.44  2.46 
148 G022.692-00.452 ALMA6  18.0  1.80  0.29  4950 0.21  0.45 
149 G022.692-00.452 ALMA7  18.0  0.57  0.21  2890 0.20  0.71 
150 G022.692-00.452 ALMA8  18.0  0.52  0.17  2890 0.17  0.66 
