Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.4 Core Properties Obtained from Astrodendro
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---      id         Sequential identifier
   5- 19 A15    ---      ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     ---      CoreName   Core name (Unique within Clump)
  28- 29 I2     h        RAh        Hour of Right Ascension (ICRS) 
  31- 32 I2     min      RAm        Minute of Right Ascension (ICRS) 
  34- 38 F5.2   s        RAs        Second of Right Ascension (ICRS) 
  40- 40 A1     ---      DE-        Sign of the Declination (ICRS)
  41- 42 I2     deg      DEd        Degree of Declination (ICRS) 
  44- 45 I2     arcmin   DEm        Arcminute of Declination (ICRS) 
  47- 51 F5.2   arcsec   DEs        Arcsecond of Declination (ICRS) 
  53- 56 F4.2   arcsec   maj        Major axis of cores (FWHM)
  58- 61 F4.2   arcsec   min        Minor axis of cores (FWHM)
  63- 67 F5.2   mJy/beam Fpeak      Peak intensity
  69- 73 F5.2   mJy      Fint       Flux Density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
186 G024.010+00.489 ALMA13 18 33 18.07 -07 42 12.18 3.00 1.59  0.61  2.42 
187 G024.010+00.489 ALMA14 18 33 18.06 -07 42 13.98 4.37 1.73  0.58  2.95 
188 G024.010+00.489 ALMA15 18 33 18.27 -07 42 41.58 4.03 1.46  0.56  2.90 
189 G024.010+00.489 ALMA16 18 33 18.89 -07 42 16.78 2.23 1.61  0.51  1.57 
190 G024.524-00.139 ALMA1  18 36 30.98 -07 32 25.48 0.81 0.56  9.92  4.95 
191 G024.524-00.139 ALMA2  18 36 30.92 -07 32 26.88 0.80 0.53  9.37  4.40 
192 G024.524-00.139 ALMA3  18 36 30.90 -07 32 23.48 0.87 0.68  5.34  3.47 
193 G024.524-00.139 ALMA4  18 36 31.97 -07 32 07.08 2.23 2.06  3.52 10.56 
194 G024.524-00.139 ALMA5  18 36 31.16 -07 32 28.08 1.13 0.78  2.52  2.31 
195 G024.524-00.139 ALMA6  18 36 31.25 -07 32 17.28 1.70 1.24  2.31  3.61 
196 G024.524-00.139 ALMA7  18 36 31.35 -07 32 31.48 1.76 1.20  2.29  3.08 
197 G024.524-00.139 ALMA8  18 36 31.04 -07 32 20.28 0.90 0.69  1.41  0.99 
198 G024.524-00.139 ALMA9  18 36 30.53 -07 32 39.28 1.87 1.19  1.35  2.34 
199 G024.524-00.139 ALMA10 18 36 30.52 -07 32 49.48 2.29 1.61  1.10  2.36 
200 G024.524-00.139 ALMA11 18 36 31.54 -07 32 19.28 1.15 0.74  0.92  0.81 
201 G024.524-00.139 ALMA12 18 36 31.88 -07 32 10.48 2.53 0.99  0.80  1.74 
202 G024.524-00.139 ALMA13 18 36 31.41 -07 32 19.48 0.82 0.68  0.77  0.48 
203 G024.524-00.139 ALMA14 18 36 30.48 -07 32 44.88 2.20 0.78  0.71  0.98 
204 G024.524-00.139 ALMA15 18 36 31.58 -07 32 14.68 1.76 0.93  0.71  1.05 
205 G024.524-00.139 ALMA16 18 36 30.79 -07 32 38.08 1.00 0.57  0.69  0.44 
206 G024.524-00.139 ALMA17 18 36 30.80 -07 32 36.28 0.80 0.68  0.68  0.43 
207 G024.524-00.139 ALMA18 18 36 30.03 -07 32 01.88 1.31 0.99  0.68  0.82 
208 G024.524-00.139 ALMA19 18 36 31.65 -07 32 16.88 1.61 0.70  0.64  0.59 
209 G024.524-00.139 ALMA20 18 36 30.60 -07 32 23.08 2.29 1.55  0.55  1.40 
210 G024.524-00.139 ALMA21 18 36 31.49 -07 32 23.48 3.12 1.33  0.50  1.80 
211 G024.524-00.139 ALMA22 18 36 30.76 -07 32 10.28 2.58 1.66  0.43  1.06 
212 G024.524-00.139 ALMA23 18 36 30.33 -07 32 20.48 1.68 1.10  0.41  0.47 
213 G025.163-00.304 ALMA1  18 38 17.21 -07 02 50.98 3.99 1.70  8.51 25.81 
214 G025.163-00.304 ALMA2  18 38 18.66 -07 03 08.38 5.00 1.55  8.34 20.83 
215 G025.163-00.304 ALMA3  18 38 18.87 -07 02 44.78 1.41 0.94  2.53  2.98 
216 G025.163-00.304 ALMA4  18 38 17.33 -07 02 53.98 0.93 0.85  2.13  1.78 
217 G025.163-00.304 ALMA5  18 38 18.95 -07 02 46.38 0.95 0.73  1.88  1.43 
218 G025.163-00.304 ALMA6  18 38 17.42 -07 02 50.18 1.02 0.48  1.59  0.90 
219 G025.163-00.304 ALMA7  18 38 16.01 -07 02 54.38 2.26 1.35  1.40  3.78 
220 G025.163-00.304 ALMA8  18 38 18.36 -07 02 50.98 2.14 1.53  1.25  3.79 
221 G025.163-00.304 ALMA9  18 38 18.34 -07 02 46.98 1.33 0.78  1.21  1.30 
222 G025.163-00.304 ALMA10 18 38 18.28 -07 02 44.78 1.12 0.78  1.12  0.96 
223 G025.163-00.304 ALMA11 18 38 15.66 -07 02 57.58 2.58 1.00  1.11  2.23 
224 G025.163-00.304 ALMA12 18 38 16.28 -07 02 53.38 1.76 0.73  1.09  1.30 
225 G025.163-00.304 ALMA13 18 38 18.30 -07 02 48.78 1.28 0.62  0.95  0.86 
226 G025.163-00.304 ALMA14 18 38 17.80 -07 02 50.18 1.89 0.74  0.90  1.30 
227 G025.163-00.304 ALMA15 18 38 17.91 -07 02 47.38 2.10 0.99  0.89  1.93 
228 G025.163-00.304 ALMA16 18 38 17.93 -07 03 05.98 2.59 1.61  0.62  2.08 
229 G025.163-00.304 ALMA17 18 38 17.24 -07 02 59.98 1.44 1.22  0.59  1.01 
230 G025.163-00.304 ALMA18 18 38 17.48 -07 03 03.18 1.87 0.87  0.40  0.58 
231 G028.273-00.167 ALMA1  18 43 32.36 -04 13 33.98 1.85 1.45  2.68  4.15 
232 G028.273-00.167 ALMA2  18 43 30.78 -04 13 20.18 1.73 1.39  1.74  3.95 
233 G028.273-00.167 ALMA3  18 43 31.30 -04 13 15.58 1.53 0.99  1.50  2.22 
234 G028.273-00.167 ALMA4  18 43 31.10 -04 13 19.98 1.51 1.21  1.48  2.88 
235 G028.273-00.167 ALMA5  18 43 31.42 -04 13 20.18 2.53 1.91  1.25  5.27 
236 G028.273-00.167 ALMA6  18 43 30.63 -04 13 33.38 3.27 2.82  1.20  6.25 
237 G028.273-00.167 ALMA7  18 43 31.19 -04 13 17.58 1.18 0.56  1.12  0.89 
238 G028.273-00.167 ALMA8  18 43 30.51 -04 12 51.78 1.53 0.79  1.03  1.26 
239 G028.273-00.167 ALMA9  18 43 31.73 -04 13 19.38 1.48 1.10  0.83  1.06 
240 G028.273-00.167 ALMA10 18 43 30.50 -04 12 56.78 1.58 0.80  0.81  1.06 
241 G028.273-00.167 ALMA11 18 43 31.70 -04 13 22.38 2.61 1.11  0.79  2.25 
242 G028.273-00.167 ALMA12 18 43 29.98 -04 12 57.98 2.54 1.24  0.77  2.06 
243 G028.273-00.167 ALMA13 18 43 31.02 -04 13 35.98 3.09 2.07  0.75  3.33 
244 G028.273-00.167 ALMA14 18 43 31.62 -04 13 17.38 1.83 0.91  0.75  1.36 
245 G028.273-00.167 ALMA15 18 43 30.74 -04 13 02.18 3.78 1.79  0.67  3.10 
246 G028.273-00.167 ALMA16 18 43 30.91 -04 13 00.98 1.17 0.67  0.59  0.51 
247 G028.273-00.167 ALMA17 18 43 32.28 -04 13 36.18 1.15 0.69  0.58  0.50 
248 G028.273-00.167 ALMA18 18 43 30.35 -04 12 59.78 1.04 0.82  0.56  0.51 
249 G028.273-00.167 ALMA19 18 43 30.37 -04 13 01.38 3.10 1.18  0.49  1.07 
250 G028.541-00.237 ALMA1  18 44 16.44 -04 00 32.28 4.62 2.43  2.26 12.68 
251 G028.541-00.237 ALMA2  18 44 15.70 -04 00 57.48 3.78 1.46  2.17  7.92 
252 G028.541-00.237 ALMA3  18 44 15.98 -04 00 39.68 1.97 1.53  2.05  4.60 
253 G028.541-00.237 ALMA4  18 44 15.74 -04 00 42.48 2.97 1.10  1.84  3.65 
254 G028.541-00.237 ALMA5  18 44 15.46 -04 01 00.08 3.43 2.09  1.82  6.16 
255 G028.541-00.237 ALMA6  18 44 17.09 -04 00 33.68 3.86 2.08  1.37  6.02 
256 G028.541-00.237 ALMA7  18 44 15.47 -04 00 46.28 3.35 1.50  1.24  5.00 
257 G028.541-00.237 ALMA8  18 44 16.41 -04 01 00.08 2.03 1.47  1.21  2.22 
258 G028.541-00.237 ALMA9  18 44 16.65 -04 00 51.88 1.05 0.77  0.87  0.64 
259 G028.541-00.237 ALMA10 18 44 17.01 -04 00 28.48 2.71 1.51  0.85  2.38 
260 G028.541-00.237 ALMA11 18 44 15.27 -04 01 04.48 1.97 1.32  0.77  1.90 
261 G028.541-00.237 ALMA12 18 44 16.97 -04 01 00.68 1.45 0.95  0.69  0.66 
262 G028.541-00.237 ALMA13 18 44 16.78 -04 00 54.68 3.92 2.50  0.53  2.54 
263 G028.541-00.237 ALMA14 18 44 16.20 -04 00 37.08 1.36 0.62  0.52  0.48 
264 G028.541-00.237 ALMA15 18 44 15.15 -04 00 51.48 1.15 1.09  0.48  0.62 
265 G028.541-00.237 ALMA16 18 44 16.37 -04 00 35.88 1.81 0.53  0.43  0.39 
266 G028.541-00.237 ALMA17 18 44 15.55 -04 01 07.88 1.42 1.12  0.41  0.54 
267 G028.541-00.237 ALMA18 18 44 14.98 -04 00 41.68 3.15 1.03  0.39  0.65 
268 G028.564-00.236 ALMA1  18 44 18.02 -03 59 22.98 2.18 1.55 40.78 67.50 
269 G028.564-00.236 ALMA2  18 44 18.94 -03 59 48.78 1.65 1.61 15.02 21.38 
270 G028.564-00.236 ALMA3  18 44 18.22 -04 00 01.58 2.76 1.85 10.61 22.54 
271 G028.564-00.236 ALMA4  18 44 17.80 -03 59 35.38 3.08 1.99  6.38 22.38 
272 G028.564-00.236 ALMA5  18 44 18.07 -03 59 35.18 2.01 1.28  5.15  8.61 
273 G028.564-00.236 ALMA6  18 44 19.64 -03 59 31.98 1.54 1.18  4.94  7.48 
274 G028.564-00.236 ALMA7  18 44 18.02 -03 59 18.58 2.40 1.00  4.83  9.57 
275 G028.564-00.236 ALMA8  18 44 17.32 -03 59 22.58 2.04 1.44  4.73  8.64 
276 G028.564-00.236 ALMA9  18 44 17.90 -03 59 45.58 5.79 1.57  4.52 23.61 
277 G028.564-00.236 ALMA10 18 44 18.55 -03 59 50.58 1.84 1.06  4.10  5.79 
278 G028.564-00.236 ALMA11 18 44 16.72 -03 59 16.78 3.30 2.16  3.45 10.30 
279 G028.564-00.236 ALMA12 18 44 16.47 -03 59 12.58 0.99 0.64  2.56  1.60 
280 G028.564-00.236 ALMA13 18 44 16.44 -03 59 41.38 0.96 0.82  2.40  1.77 
281 G028.564-00.236 ALMA14 18 44 17.56 -03 59 32.98 1.65 1.29  2.38  4.58 
282 G028.564-00.236 ALMA15 18 44 18.43 -03 59 31.78 2.94 1.38  2.23  5.05 
283 G028.564-00.236 ALMA16 18 44 18.23 -03 59 41.98 2.42 1.48  2.00  6.62 
284 G028.564-00.236 ALMA17 18 44 17.23 -03 59 57.78 1.19 0.97  1.99  2.12 
285 G028.564-00.236 ALMA18 18 44 18.79 -03 59 46.18 1.60 1.04  1.96  3.19 
286 G028.564-00.236 ALMA19 18 44 18.46 -03 59 42.78 0.99 0.58  1.76  1.18 
287 G028.564-00.236 ALMA20 18 44 16.71 -03 59 44.38 1.05 0.81  1.74  1.40 
288 G028.564-00.236 ALMA21 18 44 19.45 -03 59 32.58 1.14 0.59  1.70  1.30 
289 G028.564-00.236 ALMA22 18 44 18.67 -03 59 38.58 2.29 1.88  1.66  6.34 
290 G028.564-00.236 ALMA23 18 44 18.93 -03 59 53.38 2.13 1.68  1.57  5.29 
291 G028.564-00.236 ALMA24 18 44 19.34 -03 59 53.38 1.92 0.94  1.51  2.50 
292 G028.564-00.236 ALMA25 18 44 18.38 -03 59 46.18 1.30 0.64  1.51  1.42 
293 G028.564-00.236 ALMA26 18 44 17.88 -03 59 54.58 1.71 0.93  1.46  2.07 
294 G028.564-00.236 ALMA27 18 44 18.78 -03 59 56.98 1.57 1.24  1.29  2.45 
295 G028.564-00.236 ALMA28 18 44 18.21 -03 59 14.38 1.98 1.80  1.28  3.58 
296 G028.564-00.236 ALMA29 18 44 17.00 -03 59 45.58 1.35 0.90  1.20  1.38 
297 G028.564-00.236 ALMA30 18 44 18.99 -03 59 37.38 2.22 1.29  1.17  2.90 
298 G028.564-00.236 ALMA31 18 44 17.59 -03 59 28.98 0.93 0.67  1.16  0.81 
299 G028.564-00.236 ALMA32 18 44 18.31 -03 59 26.98 3.10 1.01  1.06  2.95 
300 G028.564-00.236 ALMA33 18 44 17.75 -03 59 17.18 1.87 0.58  1.06  1.01 
301 G028.564-00.236 ALMA34 18 44 18.29 -03 59 10.38 1.79 1.26  0.95  1.62 
302 G028.564-00.236 ALMA35 18 44 17.88 -03 59 41.98 0.97 0.62  0.89  0.62 
303 G028.927+00.394 ALMA1  18 42 42.92 -03 23 01.38 1.88 1.24  7.43 12.52 
304 G028.927+00.394 ALMA2  18 42 43.09 -03 23 05.58 1.31 0.64  2.46  2.27 
305 G028.927+00.394 ALMA3  18 42 42.97 -03 23 03.78 0.97 0.52  2.23  1.30 
306 G028.927+00.394 ALMA4  18 42 43.46 -03 23 06.98 2.88 1.64  1.54  4.99 
307 G028.927+00.394 ALMA5  18 42 43.01 -03 23 10.98 1.60 0.86  1.15  1.43 
308 G028.927+00.394 ALMA6  18 42 43.13 -03 22 54.18 2.77 1.33  0.99  2.02 
309 G028.927+00.394 ALMA7  18 42 43.59 -03 22 37.18 1.29 1.00  0.92  1.01 
310 G028.927+00.394 ALMA8  18 42 42.13 -03 23 11.58 1.13 0.84  0.92  0.77 
311 G028.927+00.394 ALMA9  18 42 42.48 -03 22 49.98 1.79 0.92  0.41  0.51 
312 G030.704+00.104 ALMA1  18 47 00.60 -01 56 06.98 2.10 1.44  4.06  8.08 
313 G030.704+00.104 ALMA2  18 46 59.06 -01 56 07.78 4.16 2.40  3.74 13.41 
314 G030.704+00.104 ALMA3  18 46 59.87 -01 56 09.58 2.05 1.01  1.43  2.89 
315 G030.704+00.104 ALMA4  18 46 59.21 -01 55 57.58 2.80 1.25  1.42  3.10 
316 G030.704+00.104 ALMA5  18 47 00.68 -01 56 04.38 1.13 0.80  1.30  1.28 
317 G030.704+00.104 ALMA6  18 47 00.29 -01 56 10.78 1.15 0.83  1.13  1.29 
318 G030.704+00.104 ALMA7  18 47 00.33 -01 56 08.58 0.81 0.56  1.12  0.58 
319 G030.704+00.104 ALMA8  18 47 00.80 -01 56 09.58 1.55 0.48  1.01  0.87 
320 G030.704+00.104 ALMA9  18 47 01.32 -01 56 21.18 1.29 1.08  0.99  1.29 
321 G030.704+00.104 ALMA10 18 47 00.64 -01 56 09.58 1.10 0.63  0.88  0.71 
322 G030.704+00.104 ALMA11 18 47 01.08 -01 56 17.98 1.57 1.45  0.81  1.84 
323 G030.704+00.104 ALMA12 18 46 58.89 -01 55 49.38 2.32 2.12  0.66  2.31 
324 G030.704+00.104 ALMA13 18 46 59.57 -01 56 04.98 0.98 0.58  0.61  0.38 
325 G030.704+00.104 ALMA14 18 46 59.70 -01 56 05.58 1.16 0.67  0.58  0.49 
326 G030.704+00.104 ALMA15 18 46 59.45 -01 56 07.78 1.65 0.52  0.57  0.45 
327 G030.704+00.104 ALMA16 18 47 00.74 -01 55 47.38 2.22 2.10  0.55  1.48 
328 G030.704+00.104 ALMA17 18 47 00.86 -01 56 17.98 1.06 0.77  0.53  0.45 
329 G030.704+00.104 ALMA18 18 47 01.36 -01 56 04.38 1.57 0.99  0.51  0.71 
330 G030.704+00.104 ALMA19 18 46 59.78 -01 55 49.78 1.13 1.05  0.48  0.55 
331 G030.704+00.104 ALMA20 18 46 59.33 -01 55 55.18 1.33 0.76  0.47  0.41 
332 G030.704+00.104 ALMA21 18 47 00.81 -01 55 45.78 1.69 0.87  0.43  0.49 
333 G030.913+00.719 ALMA1  18 45 11.15 -01 28 01.88 2.30 1.88  4.57  7.81 
334 G030.913+00.719 ALMA2  18 45 11.36 -01 28 04.28 4.95 3.67  3.36 20.89 
335 G030.913+00.719 ALMA3  18 45 10.57 -01 28 11.88 1.68 1.01  1.13  1.34 
336 G030.913+00.719 ALMA4  18 45 11.40 -01 27 58.28 3.15 0.99  0.81  1.83 
337 G030.913+00.719 ALMA5  18 45 11.98 -01 27 54.68 3.46 2.35  0.78  4.07 
338 G030.913+00.719 ALMA6  18 45 12.00 -01 28 03.08 2.14 0.98  0.60  1.00 
339 G030.913+00.719 ALMA7  18 45 10.95 -01 28 10.08 1.50 0.69  0.59  0.50 
340 G030.913+00.719 ALMA8  18 45 11.99 -01 28 07.08 1.24 1.16  0.53  0.81 
341 G030.913+00.719 ALMA9  18 45 10.63 -01 28 27.28 1.84 0.83  0.44  0.51 
342 G030.913+00.719 ALMA10 18 45 10.77 -01 27 59.68 1.47 0.68  0.42  0.37 
343 G030.913+00.719 ALMA11 18 45 10.89 -01 27 56.08 2.00 1.01  0.32  0.44 
344 G030.913+00.719 ALMA12 18 45 11.33 -01 28 12.68 1.30 0.74  0.31  0.28 
345 G033.331-00.531 ALMA1  18 54 03.77 +00 06 49.61 2.41 2.10  7.09 21.58 
346 G033.331-00.531 ALMA2  18 54 03.64 +00 06 46.21 2.03 1.29  2.63  4.06 
347 G033.331-00.531 ALMA3  18 54 02.14 +00 06 43.81 1.11 0.79  1.68  1.37 
348 G033.331-00.531 ALMA4  18 54 02.23 +00 06 45.41 0.86 0.57  0.81  0.45 
349 G033.331-00.531 ALMA5  18 54 04.24 +00 06 57.81 1.54 0.65  0.52  0.50 
350 G033.331-00.531 ALMA6  18 54 03.41 +00 06 46.01 1.09 0.71  0.49  0.37 
351 G033.331-00.531 ALMA7  18 54 03.64 +00 06 54.21 0.96 0.81  0.42  0.33 
352 G033.331-00.531 ALMA8  18 54 03.24 +00 06 46.41 2.77 0.66  0.30  0.36 
353 G033.331-00.531 ALMA9  18 54 03.25 +00 06 43.81 1.66 0.89  0.26  0.28 
354 G034.133+00.076 ALMA1  18 53 21.44 +01 06 06.31 3.22 1.69  2.42 11.36 
355 G034.133+00.076 ALMA2  18 53 20.68 +01 06 12.91 3.54 1.88  1.51  6.86 
356 G034.133+00.076 ALMA3  18 53 21.09 +01 06 11.51 1.30 0.80  1.46  1.58 
357 G034.133+00.076 ALMA4  18 53 21.84 +01 06 34.31 4.45 2.34  1.41 10.13 
358 G034.133+00.076 ALMA5  18 53 21.26 +01 06 10.51 1.02 0.58  1.12  0.77 
359 G034.133+00.076 ALMA6  18 53 21.16 +01 06 21.31 2.42 0.89  0.99  1.72 
360 G034.133+00.076 ALMA7  18 53 20.94 +01 06 13.31 1.12 0.54  0.82  0.50 
361 G034.133+00.076 ALMA8  18 53 22.81 +01 06 14.31 1.23 0.75  0.73  0.64 
362 G034.133+00.076 ALMA9  18 53 22.12 +01 06 27.31 2.48 1.31  0.49  1.06 
363 G034.133+00.076 ALMA10 18 53 21.81 +01 06 13.31 1.77 0.97  0.46  0.75 
364 G034.133+00.076 ALMA11 18 53 22.12 +01 06 17.11 1.68 0.87  0.38  0.53 
365 G034.133+00.076 ALMA12 18 53 21.69 +01 06 12.51 1.99 0.87  0.38  0.66 
366 G034.133+00.076 ALMA13 18 53 21.83 +01 06 28.91 1.83 0.76  0.33  0.36 
367 G034.133+00.076 ALMA14 18 53 21.85 +01 06 10.51 1.18 0.76  0.33  0.29 
368 G034.133+00.076 ALMA15 18 53 21.25 +01 05 53.51 2.44 0.97  0.33  0.53 
369 G034.169+00.089 ALMA1  18 53 21.96 +01 08 16.71 2.00 1.56  2.66  4.57 
370 G034.169+00.089 ALMA2  18 53 21.83 +01 08 33.11 1.26 0.80  0.78  0.66 
371 G034.169+00.089 ALMA3  18 53 22.65 +01 08 18.71 1.76 1.54  0.65  1.53 
372 G034.169+00.089 ALMA4  18 53 22.69 +01 08 04.71 1.61 1.37  0.58  0.87 
373 G034.169+00.089 ALMA5  18 53 22.42 +01 08 31.91 2.05 1.43  0.52  1.41 
374 G034.169+00.089 ALMA6  18 53 22.06 +01 08 20.31 1.48 0.75  0.52  0.46 
375 G034.169+00.089 ALMA7  18 53 22.32 +01 08 02.91 1.58 0.82  0.48  0.49 
376 G034.169+00.089 ALMA8  18 53 23.25 +01 08 27.31 1.82 1.22  0.46  0.85 
377 G034.169+00.089 ALMA9  18 53 22.16 +01 08 39.11 2.48 1.91  0.46  1.72 
378 G034.169+00.089 ALMA10 18 53 22.50 +01 08 34.31 1.53 0.69  0.46  0.48 
379 G034.169+00.089 ALMA11 18 53 22.58 +01 08 36.71 1.88 0.77  0.45  0.54 
380 G034.169+00.089 ALMA12 18 53 22.03 +01 08 42.11 1.07 0.86  0.42  0.38 
381 G034.169+00.089 ALMA13 18 53 22.69 +01 08 20.91 2.47 0.94  0.41  0.93 
382 G034.169+00.089 ALMA14 18 53 21.91 +01 08 46.51 1.26 0.90  0.40  0.42 
383 G034.169+00.089 ALMA15 18 53 22.77 +01 08 27.71 2.97 1.75  0.39  1.30 
384 G034.169+00.089 ALMA16 18 53 22.79 +01 08 40.11 2.89 1.80  0.39  1.55 
385 G034.169+00.089 ALMA17 18 53 21.79 +01 08 49.11 2.22 0.89  0.38  0.61 
386 G034.169+00.089 ALMA18 18 53 22.27 +01 08 27.91 1.89 1.52  0.36  0.79 
387 G034.169+00.089 ALMA19 18 53 22.79 +01 08 22.51 1.93 1.41  0.36  0.66 
388 G034.169+00.089 ALMA20 18 53 22.20 +01 08 22.51 1.20 0.75  0.36  0.32 
389 G034.169+00.089 ALMA21 18 53 23.17 +01 08 13.71 1.65 1.51  0.35  0.65 
390 G034.169+00.089 ALMA22 18 53 22.71 +01 08 31.71 1.16 0.83  0.29  0.29 
391 G034.739-00.119 ALMA1  18 55 09.32 +01 33 15.11 1.50 1.24  5.06  8.06 
392 G034.739-00.119 ALMA2  18 55 09.64 +01 33 20.11 1.29 1.06  4.89  5.34 
393 G034.739-00.119 ALMA3  18 55 09.49 +01 33 13.11 1.51 0.84  2.97  3.83 
394 G034.739-00.119 ALMA4  18 55 10.85 +01 33 07.31 1.66 1.10  2.30  3.43 
395 G034.739-00.119 ALMA5  18 55 09.53 +01 33 17.91 1.36 1.26  2.01  3.56 
396 G034.739-00.119 ALMA6  18 55 09.37 +01 33 19.91 1.06 0.64  1.73  1.29 
397 G034.739-00.119 ALMA7  18 55 08.90 +01 33 10.71 2.41 1.66  1.37  3.58 
398 G034.739-00.119 ALMA8  18 55 11.01 +01 33 04.91 1.06 0.66  1.25  0.96 
399 G034.739-00.119 ALMA9  18 55 09.24 +01 33 11.91 0.91 0.46  1.23  0.57 
400 G034.739-00.119 ALMA10 18 55 09.81 +01 33 04.51 2.83 1.73  1.22  2.86 
401 G034.739-00.119 ALMA11 18 55 10.88 +01 33 14.11 2.39 1.02  0.95  1.74 
402 G034.739-00.119 ALMA12 18 55 09.69 +01 32 52.51 2.93 1.77  0.94  3.17 
403 G034.739-00.119 ALMA13 18 55 09.76 +01 33 00.71 1.79 1.22  0.72  1.26 
404 G034.739-00.119 ALMA14 18 55 09.10 +01 33 22.91 1.64 0.85  0.70  0.85 
405 G034.739-00.119 ALMA15 18 55 11.21 +01 32 58.31 1.63 1.26  0.70  0.96 
406 G034.739-00.119 ALMA16 18 55 10.95 +01 33 01.11 1.81 1.55  0.67  1.09 
407 G034.739-00.119 ALMA17 18 55 10.60 +01 33 37.51 2.53 1.04  0.63  1.23 
408 G034.739-00.119 ALMA18 18 55 09.45 +01 32 57.11 0.92 0.69  0.62  0.39 
409 G034.739-00.119 ALMA19 18 55 09.22 +01 32 59.31 2.93 0.77  0.61  1.14 
410 G034.739-00.119 ALMA20 18 55 08.77 +01 33 07.71 1.67 0.89  0.58  0.89 
411 G034.739-00.119 ALMA21 18 55 09.80 +01 32 51.11 1.32 0.55  0.58  0.42 
412 G034.739-00.119 ALMA22 18 55 09.52 +01 32 54.71 1.28 0.65  0.55  0.49 
413 G034.739-00.119 ALMA23 18 55 10.68 +01 33 01.31 1.80 0.92  0.48  0.64 
414 G034.739-00.119 ALMA24 18 55 10.56 +01 33 17.31 1.18 0.95  0.34  0.38 
415 G036.666-00.114 ALMA1  18 58 39.03 +03 16 16.71 3.13 2.66  8.51 20.36 
416 G036.666-00.114 ALMA2  18 58 39.72 +03 16 09.11 3.27 1.74  5.08 15.23 
417 G036.666-00.114 ALMA3  18 58 40.39 +03 16 37.91 1.86 1.72  2.26  3.99 
418 G036.666-00.114 ALMA4  18 58 39.67 +03 16 13.51 0.75 0.62  0.91  0.48 
419 G036.666-00.114 ALMA5  18 58 39.85 +03 16 14.11 1.20 0.57  0.88  0.65 
420 G036.666-00.114 ALMA6  18 58 39.36 +03 16 11.91 2.41 1.19  0.66  1.49 
421 G036.666-00.114 ALMA7  18 58 40.53 +03 16 12.31 2.70 1.52  0.51  1.49 
422 G036.666-00.114 ALMA8  18 58 40.62 +03 16 14.71 1.14 0.65  0.50  0.36 
423 G036.666-00.114 ALMA9  18 58 40.79 +03 16 12.71 1.93 1.54  0.49  1.07 
424 G036.666-00.114 ALMA10 18 58 40.15 +03 16 15.91 1.07 0.88  0.46  0.44 
425 G036.666-00.114 ALMA11 18 58 40.35 +03 16 18.31 2.90 1.08  0.45  1.20 
426 G036.666-00.114 ALMA12 18 58 40.78 +03 16 08.91 2.50 0.79  0.41  0.72 
427 G036.666-00.114 ALMA13 18 58 40.27 +03 16 12.11 2.82 1.50  0.37  0.91 
428 G305.794-00.096 ALMA1  13 16 33.28 -62 49 40.18 1.55 0.71  5.48  7.04 
429 G305.794-00.096 ALMA2  13 16 33.80 -62 49 45.38 1.19 0.80  4.95  6.29 
430 G305.794-00.096 ALMA3  13 16 31.61 -62 49 42.58 1.97 0.96  4.84  7.19 
431 G305.794-00.096 ALMA4  13 16 33.60 -62 49 41.98 0.82 0.66  4.80  3.81 
432 G305.794-00.096 ALMA5  13 16 34.07 -62 49 42.98 1.35 0.64  3.07  3.88 
433 G305.794-00.096 ALMA6  13 16 31.76 -62 49 36.78 2.98 1.86  2.89 11.82 
434 G305.794-00.096 ALMA7  13 16 32.96 -62 49 47.78 2.19 2.07  2.62  9.85 
435 G305.794-00.096 ALMA8  13 16 36.90 -62 49 51.78 0.94 0.64  2.23  1.86 
436 G305.794-00.096 ALMA9  13 16 32.75 -62 49 32.18 1.01 0.81  1.80  1.96 
437 G305.794-00.096 ALMA10 13 16 30.24 -62 49 48.38 2.22 1.09  1.65  4.16 
438 G305.794-00.096 ALMA11 13 16 31.00 -62 49 32.58 2.25 1.63  1.58  5.47 
439 G305.794-00.096 ALMA12 13 16 31.85 -62 49 43.78 0.85 0.82  1.57  1.49 
440 G305.794-00.096 ALMA13 13 16 34.39 -62 49 40.98 1.57 0.89  1.52  3.17 
441 G305.794-00.096 ALMA14 13 16 32.37 -62 49 32.58 1.38 0.73  1.36  2.00 
442 G305.794-00.096 ALMA15 13 16 31.82 -62 49 51.98 2.90 0.88  1.20  2.70 
443 G305.794-00.096 ALMA16 13 16 32.81 -62 49 40.18 1.46 0.67  1.13  1.46 
444 G305.794-00.096 ALMA17 13 16 33.19 -62 49 36.18 1.69 0.87  1.06  2.13 
445 G305.794-00.096 ALMA18 13 16 36.90 -62 49 48.78 2.60 0.86  0.98  1.94 
