Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.5 Sub-clump Properties Obtained from Dendrogram
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---      ID         Sequential identifier
   5- 19 A15    ---      Clump      Clump ATLASGAL catalog name
  21- 21 I1     ---      Subclump   ID of the sub-clump
  23- 24 I2     h        RAh        Hour of Right Ascension (ICRS) 
  26- 27 I2     min      RAm        Minute of Right Ascension (ICRS) 
  29- 33 F5.2   s        RAs        Second of Right Ascension (ICRS) 
  35- 35 A1     ---      DE-        Sign of the Declination (ICRS)
  36- 37 I2     deg      DEd        Degree of Declination (ICRS) 
  39- 40 I2     arcmin   DEm        Arcminute of Declination (ICRS) 
  42- 46 A5     arcsec   DEs        Arcsecond of Declination (ICRS) 
  48- 52 F5.2   arcsec   major      Major axis of the sub-clump (FWHM)
  54- 58 F5.2   arcsec   minor      Minor axis of the sub-clump (FWHM)
  60- 64 F5.2   ---      Fpeak      Peak intensity in a unit of mJy beam-1
  66- 71 F6.2   mJy      Fint       Flux Density
--------------------------------------------------------------------------------
 53 G028.927+00.394 2 18 42 45.04 -03 22 38.38  9.75  4.14  5.21  10.25 
 54 G028.927+00.394 3 18 42 43.58 -03 22 35.38  5.73  2.63  2.57   2.35 
 55 G030.704+00.104 1 18 47 00.58 -01 56 07.98 10.94  5.92 16.70  48.68 
 56 G030.704+00.104 2 18 46 58.98 -01 56 06.98  6.31  2.80 11.85  11.94 
 57 G030.704+00.104 3 18 47 00.98 -01 56 16.98  3.15  2.30  7.16   3.35 
 58 G030.704+00.104 4 18 46 59.25 -01 55 56.98  5.58  2.97  4.93   4.03 
 59 G030.704+00.104 5 18 46 58.71 -01 55 39.98  7.32  2.28  4.43   4.29 
 60 G030.704+00.104 6 18 47 00.78 -01 55 48.98  6.66  4.10  3.38   4.56 
 61 G030.913+00.719 1 18 45 11.37 -01 28 04.28 16.86 10.52 16.25  81.20 
 62 G030.913+00.719 2 18 45 10.57 -01 28 25.28  5.37  4.43  3.17   3.91 
 63 G033.331-00.531 1 18 54 03.80 +00 06 50.41 13.91  9.02 21.13  56.44 
 64 G033.331-00.531 2 18 54 01.33 +00 06 49.41  6.13  4.70  4.48   6.21 
 65 G033.331-00.531 3 18 54 02.19 +00 06 44.41  7.37  3.34  3.97   4.59 
 66 G034.133+00.076 1 18 53 21.40 +01 06 07.11  4.12  2.39 13.38   7.68 
 67 G034.133+00.076 2 18 53 20.93 +01 06 13.11  4.57  1.71 12.26   6.08 
 68 G034.133+00.076 3 18 53 21.87 +01 06 34.11 14.72  4.60  7.24  20.21 
 69 G034.133+00.076 4 18 53 22.27 +01 06 00.11  6.15  3.47  2.13   2.20 
 70 G034.169+00.089 1 18 53 22.03 +01 08 16.71  3.76  2.39  5.34   2.85 
 71 G034.169+00.089 2 18 53 22.43 +01 08 33.71 12.93  5.79  5.05  18.34 
 72 G034.169+00.089 3 18 53 22.63 +01 08 19.71  4.45  2.92  4.43   3.41 
 73 G034.169+00.089 4 18 53 22.50 +01 08 03.71  7.74  3.92  3.80   5.93 
 74 G034.739-00.119 1 18 55 09.36 +01 33 14.51 11.50  9.77 25.18  95.78 
 75 G034.739-00.119 2 18 55 10.89 +01 33 06.51 10.34  5.23  7.73  17.53 
 76 G034.739-00.119 3 18 55 09.76 +01 32 53.51  8.82  3.47  5.31   7.01 
 77 G036.666-00.114 1 18 58 39.03 +03 16 16.51  5.29  3.30 17.21  15.39 
 78 G036.666-00.114 2 18 58 39.70 +03 16 09.51  5.47  4.58 14.71  19.04 
 79 G036.666-00.114 3 18 58 40.43 +03 16 37.51  7.26  3.64  4.27   5.48 
 80 G305.794-00.096 1 13 16 33.83 -62 49 43.18 16.69  9.78 48.06 259.74 
 81 G305.794-00.096 2 13 16 37.19 -62 49 30.18 10.80  4.97 27.37  61.46 
 82 G305.794-00.096 3 13 16 37.04 -62 49 50.18  4.52  2.55 26.55  15.85 
 83 G327.116-00.294 1 15 50 55.68 -54 30 31.59 14.24  5.04 23.24  43.37 
 84 G327.116-00.294 2 15 50 59.24 -54 30 33.59  9.80  3.77  8.76  12.80 
 85 G327.116-00.294 3 15 50 57.98 -54 30 25.59  5.83  2.28  5.96   3.80 
 86 G327.116-00.294 4 15 50 59.13 -54 30 19.59  7.13  3.51  4.89   5.02 
 87 G331.372-00.116 1 16 11 33.24 -51 35 22.09 12.40  5.73 13.84  30.93 
 88 G331.372-00.116 2 16 11 33.67 -51 34 50.09  4.80  1.85  9.56   4.68 
 89 G331.372-00.116 3 16 11 34.09 -51 34 58.10  3.50  2.62  8.35   4.35 
 90 G331.372-00.116 4 16 11 36.03 -51 35 17.09  4.76  3.23  5.53   4.10 
 91 G332.969-00.029 1 16 18 34.43 -50 24 56.09  9.41  5.18  6.77  14.36 
 92 G332.969-00.029 2 16 18 31.08 -50 25 09.09 15.88  9.75  6.69  33.21 
 93 G332.969-00.029 3 16 18 32.13 -50 24 50.09  8.91  4.71  5.98   9.77 
 94 G333.016-00.751 1 16 21 56.17 -50 53 42.28 12.84 10.77 10.68  51.27 
 95 G333.481-00.224 1 16 21 40.28 -50 11 50.88  5.67  4.98 31.75  51.65 
 96 G333.481-00.224 2 16 21 39.65 -50 11 41.88  6.40  3.59 23.86  35.36 
 97 G333.481-00.224 3 16 21 39.34 -50 11 22.88  5.06  3.31  8.25   8.02 
 98 G333.524-00.269 1 16 22 03.59 -50 11 43.28 13.26 10.97 47.60 301.03 
 99 G333.524-00.269 2 16 22 05.36 -50 11 46.28  4.81  2.97 33.91  26.31 
100 G333.524-00.269 3 16 22 04.53 -50 11 57.28  3.85  1.77 18.95   8.88 
101 G333.524-00.269 4 16 22 00.26 -50 11 48.28  4.34  3.45 14.09  12.34 
102 G337.342-00.119 1 16 37 21.39 -47 19 24.35 10.33  5.96  7.12  20.11 
103 G337.342-00.119 2 16 37 18.14 -47 19 30.35  5.29  4.42  4.32   5.96 
104 G337.342-00.119 3 16 37 20.01 -47 19 17.35  9.13  2.11  3.22   3.98 
105 G337.541-00.082 1 16 37 58.48 -47 08 59.10  7.64  5.92 26.25  45.25 
106 G337.541-00.082 2 16 37 57.89 -47 08 43.09  8.12  5.48 11.42  22.66 
107 G337.541-00.082 3 16 37 57.79 -47 09 16.09 11.40  5.97 10.50  29.68 
108 G340.179-00.242 1 16 48 38.89 -45 16 02.09 11.23  6.07  3.89  14.17 
109 G340.179-00.242 2 16 48 42.11 -45 16 01.09 12.68  5.02  3.65   7.68 
110 G340.179-00.242 3 16 48 39.45 -45 15 49.09 11.56  3.73  3.57   8.08 
111 G340.179-00.242 4 16 48 40.69 -45 15 48.09  6.77  3.96  3.36   4.48 
112 G340.179-00.242 5 16 48 40.12 -45 16 16.09  5.90  3.34  2.20   2.45 
113 G340.222-00.167 1 16 48 30.82 -45 11 07.79 13.41  9.56 10.17  40.18 
114 G340.222-00.167 2 16 48 33.38 -45 11 11.79  9.11  3.71  8.03  12.42 
115 G340.222-00.167 3 16 48 32.43 -45 11 29.79  9.45  5.39  5.23  10.98 
116 G340.232-00.146 1 16 48 27.46 -45 09 43.89 12.60  7.06 27.35  87.57 
117 G340.232-00.146 2 16 48 27.93 -45 10 03.89 12.66  7.48 15.40  56.79 
118 G340.232-00.146 3 16 48 25.66 -45 09 31.89  7.59  4.30  6.98  12.34 
119 G340.398-00.396 1 16 50 06.95 -45 11 46.98  8.05  3.39 10.41  13.34 
120 G340.398-00.396 2 16 50 06.86 -45 11 15.98  9.49  4.17  9.49  16.94 
121 G340.398-00.396 3 16 50 09.51 -45 11 31.98 12.89  6.69  9.37  37.88 
122 G340.398-00.396 4 16 50 06.67 -45 11 27.98  6.92  4.87  7.50  14.27 
123 G340.398-00.396 5 16 50 08.66 -45 11 54.98  5.97  2.65  7.22   7.04 
124 G340.398-00.396 6 16 50 07.14 -45 11 58.98  4.30  2.31  6.30   4.01 
125 G340.398-00.396 7 16 50 10.45 -45 11 51.98 10.11  4.49  4.83  10.88 
126 G341.039-00.114 1 16 51 12.42 -44 31 23.19 11.23  2.85 15.23  24.98 
127 G341.039-00.114 2 16 51 10.27 -44 31 32.19  8.92  3.68 15.18  18.74 
128 G341.039-00.114 3 16 51 14.20 -44 31 21.19  4.07  2.03 13.76   6.62 
129 G341.039-00.114 4 16 51 12.52 -44 31 06.19  8.36  4.62 11.58  20.32 
130 G343.489-00.416 1 17 01 01.09 -42 48 08.99 10.35  6.58 30.17  52.36 
131 G343.489-00.416 2 17 00 59.64 -42 48 14.99  7.88  4.42  7.05  10.55 
132 G345.114-00.199 1 17 05 25.99 -41 22 51.48 15.20 10.87 10.69  69.01 
133 G345.114-00.199 2 17 05 26.34 -41 23 16.48  7.59  6.88  5.14  11.39 
134 G345.114-00.199 3 17 05 26.34 -41 22 28.48 10.17  3.93  4.71   7.06 
